Nom,Insee,cp,arr,Canton,epci,pop,lat,long,alti,surf
Locmariaquer,56116,56740,1,Auray,CC Auray Quiberon Terre Atlantique,1567,47.56667,-2.93694,8,11.09
Locminé,56117,56500,2,Grand-Champ,CC Centre Morbihan Communauté,4708,47.8875,-2.83472,90,4.88
Locmiquélic,56118,56570,1,Hennebont,CA Lorient Agglomération,4094,47.725,-3.33639,23,3.72
Locoal-Mendon,56119,56550,1,Quiberon,CC Auray Quiberon Terre Atlantique,3529,47.71194,-3.10361,20,44.93
Locqueltas,56120,56390,3,Grand-Champ,CA Golfe du Morbihan - Vannes Agglomération,1980,47.75889,-2.76639,90,19.53
Lorient,56121,56100,1,Lorient,CA Lorient Agglomération,58202,47.74528,-3.36361,5,14.79
Loyat,56122,56800,2,Ploërmel,Ploërmel Communauté,1734,47.98972,-2.38167,57,41.75
Malansac,56123,56220,3,Questembert,CC Questembert Communauté,2292,47.67805,-2.29528,86,36.39
Malestroit,56124,56140,3,Moréac,CC de l'Oust à Brocéliande,2533,47.81,-2.38417,25,5.9
Malguénac,56125,56300,2,Gourin,CC Pontivy Communauté,1849,48.08,-3.04972,200,38.44
Marzan,56126,56130,3,Muzillac,CC Arc Sud Bretagne,2611,47.54167,-2.32222,50,34.14
Mauron,56127,56430,2,Ploërmel,Ploërmel Communauté,3169,48.08222,-2.28528,80,67.11
Melrand,56128,56310,2,Pontivy,CC Baud Communauté,1559,47.97917,-3.11028,60,40.59
Ménéac,56129,56490,2,Ploërmel,Ploërmel Communauté,1478,48.13944,-2.45944,160,69.06
Merlevenez,56130,56700,1,Pluvigner,CC de Blavet Bellevue Océan,3191,47.73583,-3.23278,10,17.77
Meslan,56131,56320,2,Gourin,CC Roi Morvan Communauté,1475,47.99389,-3.42917,120,38.74
Meucon,56132,56890,3,Vannes-3,CA Golfe du Morbihan - Vannes Agglomération,2278,47.71722,-2.76333,74,5.75
Missiriac,56133,56140,3,Moréac,CC de l'Oust à Brocéliande,1192,47.83639,-2.34889,80,13.43
Mohon,56134,56490,2,Ploërmel,Ploërmel Communauté,988,48.05278,-2.5225,70,38.74
Molac,56135,56230,3,Questembert,CC Questembert Communauté,1636,47.73111,-2.43167,90,28.6
Monteneuf,56136,56380,3,Guer,CC de l'Oust à Brocéliande,760,47.87222,-2.20694,100,29.72
Monterblanc,56137,56250,3,Vannes-3,CA Golfe du Morbihan - Vannes Agglomération,3342,47.74445,-2.67861,100,25.57
Montertelot,56139,56800,2,Ploërmel,Ploërmel Communauté,370,47.88055,-2.41944,25,2.66
Moréac,56140,56500,2,Moréac,CC Centre Morbihan Communauté,3692,47.92,-2.81833,121,60.2
Moustoir-Ac,56141,56500,2,Grand-Champ,CC Centre Morbihan Communauté,1713,47.85556,-2.83222,121,33.95
Muzillac,56143,56190,3,Muzillac,CC Arc Sud Bretagne,5022,47.55444,-2.47917,36,38.04
Néant-sur-Yvel,56145,56430,2,Ploërmel,Ploërmel Communauté,1070,48.01444,-2.32444,66,32.57
Neulliac,56146,56300,2,Gourin,CC Pontivy Communauté,1476,48.13,-2.97917,120,31.3
Nivillac,56147,56130,3,Muzillac,CC Arc Sud Bretagne,4874,47.53472,-2.28167,30,55.87
Nostang,56148,56690,1,Pluvigner,CC de Blavet Bellevue Océan,1650,47.75083,-3.18528,10,17.27
Noyal-Muzillac,56149,56190,3,Muzillac,CC Arc Sud Bretagne,2548,47.59195,-2.45417,50,49.17
Noyal-Pontivy,56151,56920,2,Pontivy,CC Pontivy Communauté,3605,48.06694,-2.87917,130,53.45
le Palais,56152,56360,1,Quiberon,CC de Belle Ile en Mer,2576,47.34555,-3.15194,10,17.73
Péaule,56153,56130,3,Muzillac,CC Arc Sud Bretagne,2856,47.58139,-2.35444,75,39.19
Peillac,56154,56220,3,Guer,CA Redon Agglomération,1865,47.7125,-2.21583,60,24.61
Pénestin,56155,56760,3,Muzillac,CA de la Presqu'île de Guérande Atlantique (CAP ATLANTIQUE),2057,47.48389,-2.47361,5,21.29
Persquen,56156,56160,2,Gourin,CC Roi Morvan Communauté,358,48.02972,-3.19444,140,20.06
Plaudren,56157,56420,3,Grand-Champ,CA Golfe du Morbihan - Vannes Agglomération,1970,47.77889,-2.69083,110,41.16
Plescop,56158,56890,3,Vannes-2,CA Golfe du Morbihan - Vannes Agglomération,6200,47.69833,-2.80389,50,23.5
Pleucadeuc,56159,56140,3,Moréac,CC de l'Oust à Brocéliande,1850,47.75945,-2.37389,69,35.1
Pleugriffet,56160,56120,2,Grand-Champ,CC Pontivy Communauté,1281,47.99028,-2.68389,100,38.61
Ploemel,56161,56400,1,Quiberon,CC Auray Quiberon Terre Atlantique,3109,47.65111,-3.07028,30,25.38
Ploemeur,56162,56270,1,Ploemeur,CA Lorient Agglomération,18873,47.73722,-3.42611,37,39.97
Ploërdut,56163,56160,2,Gourin,CC Roi Morvan Communauté,1259,48.08833,-3.28694,200,76.27
Ploeren,56164,56880,3,Vannes-2,CA Golfe du Morbihan - Vannes Agglomération,6781,47.65556,-2.86806,50,20.53
Ploërmel,56165,56800,2,Ploërmel,Ploërmel Communauté,10021,47.93083,-2.39444,80,51.44
Plouay,56166,56240,1,Guidel,CA Lorient Agglomération,5779,47.91417,-3.33389,83,67.23
Plougoumelen,56167,56400,3,Vannes-2,CA Golfe du Morbihan - Vannes Agglomération,2599,47.65361,-2.91639,20,22.04
Plouharnel,56168,56340,1,Quiberon,CC Auray Quiberon Terre Atlantique,2272,47.59833,-3.11222,22,18.92
Plouhinec,56169,56680,1,Pluvigner,CC de Blavet Bellevue Océan,5343,47.69639,-3.25,20,37.1
Plouray,56170,56770,2,Gourin,CC Roi Morvan Communauté,1022,48.14528,-3.38694,190,39.3
Pluherlin,56171,56220,3,Questembert,CC Questembert Communauté,1515,47.69583,-2.36111,74,35.46
Plumelec,56172,56420,2,Moréac,CC Centre Morbihan Communauté,2730,47.8375,-2.63889,160,58.54
Pluméliau-Bieuzy,56173,56930,2,Pontivy,CC Baud Communauté,4535,47.9575,-2.9725,110,68.66
Plumelin,56174,56500,2,Grand-Champ,CC Centre Morbihan Communauté,2841,47.86167,-2.88444,90,31.41
Plumergat,56175,56400,1,Auray,CC Auray Quiberon Terre Atlantique,4199,47.74222,-2.91667,50,42.1
Pluneret,56176,56400,1,Auray,CC Auray Quiberon Terre Atlantique,6257,47.675,-2.95611,30,27.13
Pluvigner,56177,56330,1,Pluvigner,CC Auray Quiberon Terre Atlantique,7644,47.77555,-3.01139,85,83.02
Pont-Scorff,56179,56620,1,Guidel,CA Lorient Agglomération,4015,47.83528,-3.39889,40,23.24
